TeamName,TeamC,
GraphType,MultiGraph,
EdgeCount,3000,
Hardware,Windows 10 10.0 amd64,
MeasurementTool,Tool,

Run,Time(ms),Energy(J),
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
