TeamName,TeamC,
GraphType,MultiGraph,
EdgeCount,10000,
Hardware,Mac OS X 14.1.1 aarch64,
MeasurementTool,Tool,

Run,Time(ms),Energy(J),
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
