TeamName,TeamC,
GraphType,MultiGraph,
EdgeCount,1000000,
Hardware,Windows 10 10.0 amd64,
MeasurementTool,Tool,

Run,Time(ms),Energy(J),
1,5925,18:53:48.069 (238.702J),
2,5970,18:53:53.995 (259.302J),
3,5581,18:53:59.965 (213.895J),
4,5291,18:54:05.546 (199.760J),
5,5920,18:54:10.837 (235.529J),
6,5270,18:54:16.757 (201.155J),
7,5329,18:54:22.028 (198.630J),
8,5099,18:54:27.357 (181.128J),
9,6201,18:54:32.457 (256.427J),
10,5574,18:54:38.658 (217.351J),
